task_id,section,calculated_start,calculated_end,task,owner,evidence,status,date_completed,notes
task_030,180–121 days before retirement,2026-12-03,2027-01-31,Remain available for required VA C&P examinations and track every appointment.,VA,C&P schedule,not_started,,
task_031,180–121 days before retirement,2026-12-03,2027-01-31,Complete/continue retirement/separation health assessment appointments.,Medical,SHA/exam documentation,not_started,,
task_032,180–121 days before retirement,2026-12-03,2027-01-31,Request final comprehensive copies/exports of medical and dental records as they become available.,Medical/Dental,STR/dental archive,not_started,,
task_033,180–121 days before retirement,2026-12-03,2027-01-31,Begin detailed SBP education with spouse/family before making election.,Finance/SBP,SBP comparison,not_started,,
task_034,180–121 days before retirement,2026-12-03,2027-01-31,Confirm final move/HHG counseling process after orders are available.,TMO,Counseling notes,not_started,,
task_035,120–91 days before retirement,2027-02-01,2027-03-02,Continue C&P examinations and submit permitted evidence for pending VA claim.,VA,Evidence log,not_started,,
task_036,120–91 days before retirement,2027-02-01,2027-03-02,Complete major TAP Career Readiness Standards and prepare for Capstone.,TAP,CRS artifacts,not_started,,
task_037,120–91 days before retirement,2027-02-01,2027-03-02,"Review DD Form 2656 requirements: retired pay, direct deposit, tax withholding, beneficiaries and SBP.",Finance,DD Form 2656 preparation,not_started,,
task_038,120–91 days before retirement,2027-02-01,2027-03-02,"Verify bank, personal email, phone and mailing address information that will remain valid after CAC loss.",Finance/Admin,Contact-data checklist,not_started,,
task_039,120–91 days before retirement,2027-02-01,2027-03-02,Begin scheduling HHG shipment/NTS and final travel as appropriate.,TMO,Shipment/travel confirmations,not_started,,
task_040,120–91 days before retirement,2027-02-01,2027-03-02,Review housing termination/clearance requirements and utility cancellation dates.,Housing,Housing checklist,not_started,,
task_041,90–61 days before retirement,2027-03-03,2027-04-01,"BDD filing window closes at 90 days before separation/retirement; if not filed, transition to the appropriate standard VA claim process.",VA,Claim status,not_started,,
task_042,90–61 days before retirement,2027-03-03,2027-04-01,Finalize DD Form 2656 and SBP election; obtain spouse concurrence/notarization when required.,Finance/SBP,DD Form 2656,not_started,,
task_043,90–61 days before retirement,2027-03-03,2027-04-01,Complete TAP Capstone by the required deadline and resolve unmet standards.,TAP,Capstone completion,not_started,,
task_044,90–61 days before retirement,2027-03-03,2027-04-01,"Confirm retiree TRICARE enrollment actions, QLE window and family plan selection.",TRICARE,Enrollment plan,not_started,,
task_045,90–61 days before retirement,2027-03-03,2027-04-01,Plan DEERS update and retiree/dependent ID card appointments after retirement status posts.,DEERS/ID,Appointment plan,not_started,,
task_046,90–61 days before retirement,2027-03-03,2027-04-01,"Verify final active-duty pay, allotments, debts, travel vouchers and GTC status.",Finance,Finance checklist,not_started,,
task_047,90–61 days before retirement,2027-03-03,2027-04-01,Confirm installation and unit out-processing start dates.,Out-processing,Local checklist,not_started,,
task_048,60–31 days before retirement,2027-04-02,2027-05-01,Start/continue installation and unit out-processing.,Out-processing,Electronic/signed checklist,not_started,,
task_049,60–31 days before retirement,2027-04-02,2027-05-01,"Clear or schedule clearance for CSS, security, equipment, records, training, facilities/keys, GTC and local agencies.",Unit,Clearance receipts/status,not_started,,
task_050,60–31 days before retirement,2027-04-02,2027-05-01,Turn in accountable government equipment/devices as allowed by mission timeline.,Unit,Turn-in receipts,not_started,,
task_051,60–31 days before retirement,2027-04-02,2027-05-01,Complete housing pre-inspection/final inspection scheduling and move logistics.,Housing,Inspection/clearance documents,not_started,,
task_052,60–31 days before retirement,2027-04-02,2027-05-01,"Confirm HHG pack-out, pickup, storage and delivery details.",TMO,Shipment documents,not_started,,
task_053,60–31 days before retirement,2027-04-02,2027-05-01,Refill medications and establish post-retirement medical continuity plan.,Medical,Medication/referral plan,not_started,,
task_054,60–31 days before retirement,2027-04-02,2027-05-01,Obtain current eyeglass/contact prescriptions and needed durable-medical-equipment documentation.,Medical,Prescriptions,not_started,,
task_055,60–31 days before retirement,2027-04-02,2027-05-01,Review DD Form 214 worksheet/source data and correct errors early.,Personnel,DD214 worksheet/source documents,not_started,,
task_056,30–15 days before retirement,2027-05-02,2027-05-17,Complete remaining unit/installation clearance items that can be closed before final duty day.,Out-processing,Clearance status,not_started,,
task_057,30–15 days before retirement,2027-05-02,2027-05-17,Complete security debrief/access termination requirements at the appropriate time.,Security,Completion status only,not_started,,
task_058,30–15 days before retirement,2027-05-02,2027-05-17,Settle GTC and outstanding travel vouchers.,Finance,GTC/voucher status,not_started,,
task_059,30–15 days before retirement,2027-05-02,2027-05-17,Complete official records/continuity turnover and handoff responsibilities.,Unit,Turnover confirmation,not_started,,
task_060,30–15 days before retirement,2027-05-02,2027-05-17,Verify final evaluation and retirement decoration processing.,Unit,EPB/decoration,not_started,,
task_061,30–15 days before retirement,2027-05-02,2027-05-17,"Verify DD Form 214 data: awards, deployments, military education, service dates and other entries.",Personnel,Supporting records,not_started,,
task_062,30–15 days before retirement,2027-05-02,2027-05-17,Confirm final medical/dental record copies are safely archived outside government systems.,Medical,Record archive,not_started,,
task_063,30–15 days before retirement,2027-05-02,2027-05-17,"Confirm personal access to myPay, VA.gov and other post-service systems without relying solely on CAC.",Admin,Access verification,not_started,,
task_064,Final 14 days through final duty day,2027-05-18,2027-05-31,Complete final housing clearance/lease termination and utilities as applicable.,Housing,Housing clearance,not_started,,
task_065,Final 14 days through final duty day,2027-05-18,2027-05-31,Complete MPF final out and all installation/unit out-processing.,Personnel,Final-out confirmation,not_started,,
task_066,Final 14 days through final duty day,2027-05-18,2027-05-31,Complete finance final out and understand final active-duty pay audit/hold.,Finance,Finance final-out confirmation,not_started,,
task_067,Final 14 days through final duty day,2027-05-18,2027-05-31,"Complete final equipment, badge, key, token and property turn-in.",Unit,Turn-in receipts,not_started,,
task_068,Final 14 days through final duty day,2027-05-18,2027-05-31,Confirm final travel/HHG arrangements and retain receipts/inventories.,TMO,Travel/HHG records,not_started,,
task_069,Final 14 days through final duty day,2027-05-18,2027-05-31,"Preserve retirement orders, amendments, DD Form 2656, SBP election, final LES and key personnel documents.",Records,Permanent archive,not_started,,
task_070,Final 14 days through final duty day,2027-05-18,2027-05-31,Execute terminal leave/final duty transition as approved.,Leave,Leave approval,not_started,,
task_071,Retirement date / first days after retirement,2027-06-01,2027-06-08,Verify retirement status has updated in DEERS.,DEERS,DEERS confirmation,not_started,,
task_072,Retirement date / first days after retirement,2027-06-01,2027-06-08,Obtain retiree Uniformed Services ID card and eligible dependent cards.,ID Cards,Completion status,not_started,,
task_073,Retirement date / first days after retirement,2027-06-01,2027-06-08,Take required TRICARE enrollment action for retiree coverage.,TRICARE,Enrollment confirmation,not_started,,
task_074,Retirement date / first days after retirement,2027-06-01,2027-06-08,Verify retired myPay account and retired-pay direct-deposit/tax data.,DFAS,Retired-pay account confirmation,not_started,,
task_075,Retirement date / first days after retirement,2027-06-01,2027-06-08,Obtain and securely archive final DD Form 214 when issued.,Personnel,DD Form 214,not_started,,
task_076,Retirement date / first days after retirement,2027-06-01,2027-06-08,"Update mailing address/contact information with DFAS, DEERS, VA and other required institutions.",Admin,Address-change checklist,not_started,,
task_077,Days 1–30 after retirement,2027-06-02,2027-07-01,Verify first retired-pay account data and resolve discrepancies promptly.,DFAS,Retired pay statement,not_started,,
task_078,Days 1–30 after retirement,2027-06-02,2027-07-01,Track VA claim status and respond to VA requests/exams.,VA,Claim correspondence,not_started,,
task_079,Days 1–30 after retirement,2027-06-02,2027-07-01,Apply for/enroll in VA health care as appropriate.,VA,Enrollment confirmation,not_started,,
task_080,Days 1–30 after retirement,2027-06-02,2027-07-01,Confirm TRICARE coverage for all eligible family members and resolve enrollment issues.,TRICARE,Coverage confirmation,not_started,,
task_081,Days 1–30 after retirement,2027-06-02,2027-07-01,Complete FEDVIP dental/vision enrollment if desired/eligible within applicable enrollment rules.,Benefits,Enrollment confirmation,not_started,,
task_082,Days 1–30 after retirement,2027-06-02,2027-07-01,Finalize VGLI/SGLI conversion or other life-insurance decision within applicable deadlines.,Insurance,Coverage confirmation,not_started,,
task_083,Days 1–30 after retirement,2027-06-02,2027-07-01,Confirm HHG delivery/storage claims and document loss/damage if applicable.,TMO,Delivery/claim documents,not_started,,
task_084,Days 31–90 after retirement,2027-07-02,2027-08-30,Ensure TRICARE QLE enrollment action is completed within the retirement window to avoid coverage problems.,TRICARE,Enrollment confirmation,not_started,,
task_085,Days 31–90 after retirement,2027-07-02,2027-08-30,Review VA rating decision when issued; verify dependents and effective dates.,VA,Rating decision,not_started,,
task_086,Days 31–90 after retirement,2027-07-02,2027-08-30,Review retired pay/VA interaction and CRDP/CRSC eligibility if applicable.,DFAS/VA,CRSC application or pay review,not_started,,
task_087,Days 31–90 after retirement,2027-07-02,2027-08-30,"Verify all final military records are archived: orders, DD214, DD2656, SBP, LES, medical/dental, evaluations, decorations and certificates.",Records,Retirement binder/index,not_started,,
task_088,Days 31–90 after retirement,2027-07-02,2027-08-30,"Close remaining relocation, housing, travel and claims actions.",Relocation,Closeout records,not_started,,
task_089,Ongoing after retirement,2027-08-31,,"Maintain current DFAS, DEERS, VA and TRICARE contact information.",Admin,Periodic verification,not_started,,
task_090,Ongoing after retirement,2027-08-31,,"Review SBP, beneficiary, tax withholding and life-insurance information after major life events.",Finance,Updated elections,not_started,,
task_091,Ongoing after retirement,2027-08-31,,"Maintain permanent copies of DD214, retirement orders, medical records and VA decisions.",Records,Secure archive,not_started,,
task_092,Ongoing after retirement,2027-08-31,,Track VA appeals/supplemental claims or CRSC actions if needed.,VA,Case records,not_started,,
task_093,Ongoing after retirement,2027-08-31,,Review annual TRICARE/FEDVIP enrollment and cost changes.,Benefits,Annual review,not_started,,
